General Government Debt (Percent of GDP),2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,60.61278195,64.09691558,60.24456153,57.47427086,58.20335897,56.68810624,53.55030323,55.13980555,59.66648297,57.71955223,59.41262647,62.14446707,70.39106314,71.99229972,73.71633557,73.32440992,71.89471811,69.46555958,67.28504069,75.92687275,73.85251544
Australia,17.13230768,15.02455113,13.19132733,11.91385863,10.87097602,9.951105283,9.67620798,11.74865203,16.63610898,20.366089,24.05393249,27.53756638,30.4859964,34.04937692,37.75141262,40.58347077,41.16997903,41.76871093,46.69556125,57.24325146,58.37832844
Austria,66.35455391,66.97779746,64.89627689,64.8486579,68.31751648,67.00070643,64.7404975,68.41735773,79.57976921,82.4176655,82.17817383,81.66093159,81.01126485,83.75793983,84.4010895,82.54860909,78.6034506,74.04502078,70.57770645,83.30648533,82.87786917
Belgium,108.216846,105.43668,101.6593113,97.16966512,95.14187016,91.49441336,87.32462407,93.16004344,100.2167557,100.2731729,103.4947123,104.8105134,105.4856445,107.040873,105.2303565,105.0052897,102.0202224,99.8456827,97.70240883,112.8195528,108.3954129
Bosnia and Herzegovina,35.23008146,31.19818361,27.63518833,25.48658781,25.51515237,21.24532047,18.70922554,30.88539871,35.06660314,40.80536968,39.5501065,42.20738027,42.49906586,45.85871447,45.53111324,44.08149677,37.94681232,34.27105375,32.52585573,36.53284081,35.43259512
Brazil,67.33065899,76.09505434,71.51363985,68.02506448,66.96851566,64.59881948,63.02465919,61.42007777,64.7015844,62.43320187,60.63370964,61.61424204,59.59468189,61.61715981,71.72968851,77.42217842,82.74495269,84.77703359,87.11848081,97.83221992,92.34278651
Bulgaria,65.80723848,52.97101966,45.67131226,37.5072359,29.01114851,27.11981749,24.20602819,18.80122833,21.28617603,22.10453321,21.19705248,22.79380552,23.60640655,33.70950571,31.55924475,35.80466144,31.69550749,28.82679596,26.84180851,32.70642019,35.20917054
Cambodia,34.86881214,39.74832144,43.09941889,42.70341318,35.56103749,30.68224888,29.38733389,26.99534671,28.46516462,28.74403046,29.73549591,31.53411162,31.73374422,31.90119654,31.15669057,29.12416915,29.96948912,28.44722971,28.21594515,35.16498235,36.27256167
Canada,81.46203332,79.60406938,75.91179736,71.88939989,70.64040968,69.91983183,66.86157546,67.88600886,79.2723253,81.2184883,81.77804283,85.40521815,86.14517463,85.59821104,91.22063904,91.75659764,88.85277821,88.85244948,87.15741052,117.7550023,112.8540882
Chile,14.35203303,15.04822931,12.5733756,10.31322682,7.037911097,5.020111378,3.901889786,4.919766603,5.85288975,8.615527076,11.13315308,11.94097961,12.78172707,15.01955334,17.37514393,21.1086607,23.66665646,25.82276109,28.29841701,32.60011052,36.29146682
"China",24.57461999,25.91554619,26.80032058,26.39322588,26.31166052,25.56791961,29.16434045,27.15879761,34.56702283,33.92428554,33.7716055,34.39306235,37.0352853,39.96924113,41.48882375,48.2379953,51.73278173,53.84469539,57.2443484,68.06253175,71.48010461
Colombia,41.09524101,47.54542935,45.03961475,41.48214217,38.53249544,35.96908189,32.66325122,32.38241907,35.38669368,36.49703978,35.78344883,33.96657773,37.59220571,43.31883697,50.41903539,49.79631682,49.43631279,53.58409541,52.4009547,65.65774872,64.60096015
"Congo, Dem. Rep. of the",181.616717,136.0422851,114.4640421,141.7589734,101.4723513,103.1807434,84.94837151,87.84091456,91.25967676,30.57242213,24.96254696,21.78428864,19.11919251,16.80280076,16.99464634,19.53358342,19.18929581,15.05265274,14.9999989,16.48733528,16.10350269
Croatia,34.62337964,36.4462775,37.85323307,39.95908276,40.90436117,38.4251279,37.12424257,39.00849761,48.29186854,57.20007344,63.61857619,69.38552211,80.26491643,83.8360777,83.26022062,79.80841308,76.65719542,73.32544467,71.13104884,87.33815612,79.79346203
Cyprus,58.34245723,61.79843395,63.71874319,65.35583092,64.73917854,59.98525009,54.03275543,45.54909099,54.29091591,56.43437851,65.93917114,80.33959857,103.953898,109.0854327,107.1584739,103.0645775,92.92975194,98.35096957,91.08253404,114.9607501,103.5602434
Czech Republic,22.70594767,25.83194536,28.15843868,28.36746604,27.70217686,27.55989228,27.32540439,28.11806493,33.35597524,37.0684996,39.72234606,44.15128034,44.42024992,41.85425538,39.69506925,36.58085173,34.23527655,32.05837404,30.04858156,37.64614965,42.01714418
Denmark,48.50830389,49.08095743,46.15009838,44.15591746,37.41225473,31.54940378,27.34595243,33.31318312,40.18179675,42.58788045,46.07088595,44.89420064,44.04560971,44.27026522,39.77369379,37.1930284,35.89335875,33.9999068,33.66967336,42.20472305,36.63015833
Egypt,76.62546481,85.7760132,97.09486426,96.51184915,98.2625574,85.92422878,76.26755743,66.76061466,69.45003841,69.58954106,72.82997563,73.7996059,84.02058697,84.0348272,86.07232739,93.15183417,97.80112431,87.95096547,80.09182388,85.31166788,89.19618467
El Salvador,36.46886014,42.31616776,45.96156419,46.81303108,46.28656513,46.92339571,46.26331568,48.10621407,59.0607703,60.04231663,59.16568723,63.57319144,63.16576768,65.29558512,67.03793195,68.76625324,70.52634508,70.35368703,71.33035395,89.40176765,82.43908118
Estonia,4.771671101,5.6618149,5.60014272,5.112774573,4.699702996,4.628957479,3.764938575,4.509548943,7.239669796,6.660968313,6.16048809,9.837196491,10.22802867,10.62388051,10.06913259,9.99682728,9.121984356,8.203709909,8.548255286,18.55999895,17.60188927
Ethiopia,97.32475753,107.3627759,103.6907278,103.1041126,78.23878453,67.53661425,39.31223921,32.25102062,29.96008807,38.85343258,44.56493607,39.35831538,44.10387462,44.15245031,50.74311963,51.80321548,55.27804793,58.44887084,54.69854524,53.69709299,52.94951893
Finland,40.89249661,40.11623991,42.68759596,42.57234281,39.86471306,37.99718908,33.90400007,32.56067743,41.53135953,46.90474798,48.27119466,53.62246751,56.22916881,59.8259071,63.64155026,63.17577902,61.16706997,59.78004601,59.59275905,68.98780185,66.18555389
France,58.34091796,60.25837795,64.41539837,65.93823191,67.38188068,64.61052154,64.53723163,68.77704052,83.03975063,85.25582008,87.83653465,90.60208617,93.41159434,94.8894414,95.58176009,97.95763808,98.13071501,97.78251314,97.42639895,114.6511045,112.5769562
Georgia,69.35291331,67.38937112,61.28657038,49.05792101,38.85372617,31.17415148,24.83529371,30.31827987,39.927809,40.316032,34.96808945,33.47239582,32.54550083,33.33215632,38.78308176,42.20014065,41.59784649,41.40643955,43.23624875,63.95187211,52.9423032
Germany,58.19303672,59.94577184,63.53834606,65.2008822,67.54631147,66.88710651,64.1583085,65.68162451,73.15660355,81.99469662,79.41723964,80.74519817,78.32247852,75.27913562,71.94651343,68.95436304,64.62370989,61.28835668,58.89982322,67.95294574,69.64231276
Greece,107.9921808,105.7551116,102.3191053,103.7452755,108.3057891,104.4550605,103.9799421,110.3468251,127.8232072,147.4942443,184.0009604,162.1200705,178.8494771,181.8077575,179.099604,183.7115183,183.2058316,190.6740212,185.6060287,212.4488668,199.4020762
Honduras,58.69819016,53.07916409,57.61832262,56.81127318,43.59462012,28.67312852,17.00679176,18.49231885,21.62510905,24.34854202,26.93210251,30.51180396,37.11970736,37.62979475,37.88880694,38.65412195,40.36409779,41.07941466,41.57275588,51.16272931,49.21779348
Hungary,51.6998383,54.88880001,57.35943038,58.24487745,60.11776565,64.13985122,65.1608675,71.21862091,77.52611812,79.64709982,79.87680017,77.57318112,76.163309,75.25332004,73.89757764,72.79249375,70.22763826,67.30653011,63.90960057,77.5906731,74.43249383
Iceland,83.38267207,82.15995036,85.06785988,80.86139933,68.9310711,70.65103172,68.40431392,110.3566564,128.7733393,133.1411027,138.175896,133.9249529,121.9603014,115.1979524,97.22089034,82.37316366,71.63797773,63.14077898,66.22833992,77.15902013,74.59755132
India,78.7296517,82.8511742,84.40273502,83.42726289,81.01194047,77.21379846,74.11714964,72.83659997,71.51815833,66.40021738,68.64782852,67.98453168,67.71335289,67.10204106,69.04858704,68.94309137,69.67669094,70.39234444,75.11561727,89.17990068,84.16241112
Indonesia,73.70211495,62.33938104,55.64269163,51.3281725,42.61172721,35.84773409,38.12093951,30.25203746,26.48312574,24.52458272,23.10601775,22.95466378,24.88437728,24.68163127,27.01330396,27.95546088,29.39553714,30.42272335,30.56345469,39.76086301,41.15476085
Ireland,33.55683149,30.87354226,29.81879006,28.08727817,26.05386774,23.6452227,23.94230476,42.5137359,61.75437562,86.16277958,110.4976646,119.6004897,120.0073555,104.2556834,76.69087673,74.25331044,67.59432838,63.02252389,57.18616223,58.43829459,55.32725912
Israel,81.2592607,87.32158559,89.7095419,88.30191326,85.38198279,77.67141346,70.93723755,70.37338945,72.95718211,69.32042844,67.42501697,67.11979441,65.9612052,64.85009531,63.13343975,61.44069338,59.66399845,59.86925663,58.82232684,70.6544416,67.95057335
Italy,108.8862452,106.3604686,105.4945927,105.100911,106.5574611,106.7397486,103.889537,106.1640143,116.6096436,119.1984877,119.6929806,126.4946911,132.4569586,135.3669984,135.2810122,134.7851262,134.1625413,134.4428983,134.1400275,155.2679184,150.8312273
Japan,145.1235287,154.0956573,160.0207913,169.4899592,174.2932741,174.0332888,172.8090667,180.7147196,198.7025658,205.6931074,219.0944638,226.0927823,229.6260512,233.5277522,228.3968453,232.5198957,231.416106,232.3250105,236.2772328,259.4325053,262.4920064
Kazakhstan,20.47033157,17.59185583,14.96247776,11.39157642,8.09949616,6.66731105,4.091989933,6.765869645,10.2270276,10.68273378,10.16100843,12.12526545,12.60250618,14.49634533,21.8819395,19.67735406,19.86943149,20.25853835,19.94372731,26.3571346,25.10045025
Kiribati,15.39567544,11.77615209,11.24767138,11.9835174,10.53447969,11.34045067,9.925296301,12.89298369,9.345188176,8.51074969,8.063383675,7.460382555,8.325126485,8.788464948,19.99570932,21.91919286,21.31889231,19.75941069,20.09007772,19.02047583,17.56215037
"Korea, Republic of",17.2294276,17.04128482,19.80318979,22.42164116,25.89927096,28.12078144,27.43075318,26.94866804,29.98379389,29.48995895,33.06125,35.03895845,37.68608504,39.70749791,40.7835754,41.217165,40.05015639,40.02228436,42.12526892,48.69826563,51.33084129
Kyrgyz Republic,108.2074942,107.9414737,108.2302789,92.66645627,85.66070891,73.35468993,57.743779,49.011562,58.49440133,59.69858981,50.05575903,50.47787935,47.12475568,53.59678577,67.0873453,59.07281848,58.78610661,54.81799104,51.60290605,67.64761225,61.11647754
Latvia,17.45958489,14.88752159,14.31811006,13.74444708,11.10524308,9.11362583,7.202256743,16.13533268,32.40768765,40.06894573,38.50781241,36.65742124,35.89611592,38.4648204,34.58139927,38.55364488,38.9806212,37.09873207,36.69696632,43.28336097,45.69620064
Lithuania,22.92290329,22.16658763,20.38865098,18.6858181,17.6448999,17.26124898,15.88932588,14.58083282,27.99000636,36.20901837,37.13358793,39.70075007,38.67053277,40.52617048,42.68121899,39.89570557,39.33835269,33.66311617,35.86511638,46.58022789,44.65896636
Luxembourg,7.636547892,7.454320099,7.439223402,7.834150425,7.956117842,8.210095099,8.099772062,14.6349876,15.28884245,19.09477463,18.50805669,20.85599082,22.43530334,21.87915731,21.14294896,19.6144328,21.82217959,20.84549602,22.29216271,24.75039395,24.29116056
Malaysia,38.06503023,39.53211442,41.39313082,41.96013186,40.77780568,39.66165414,39.34831413,39.36085383,50.40802955,51.2122136,51.89832213,53.78750194,55.65645269,55.37306788,56.97077193,55.78749089,54.3955448,55.64596348,57.08252195,67.71650218,69.01568042
Malta,64.88766761,63.14999475,68.62919204,71.28414058,69.9011645,64.27763471,61.9074193,61.82699624,66.34019793,65.31993405,69.26873596,65.9259617,65.790792,61.59226501,55.88005867,54.45066026,47.5546,43.53156864,40.58841469,53.22513311,56.42820275
Marshall Islands,32.85621487,37.24463963,43.81472191,46.94448749,46.21509581,44.86626213,42.82179047,42.5332262,41.60298449,38.99660381,35.94322464,37.5925424,33.63174348,35.69006849,33.85244995,29.26437213,25.57516059,24.51272796,24.83755107,21.62070779,19.77704696
Mauritius,61.306665,67.59358944,71.73994697,61.96590481,62.48049341,60.1188033,52.27978535,50.06772112,59.20176449,57.15460275,57.33244215,56.76868847,59.05982057,61.9983574,66.9261603,66.72639242,66.08122029,67.57463803,77.70695268,100.5777716,99.0838618
"Micronesia, Fed. States of",23.60149685,23.95647281,24.57407584,25.33756487,24.69078973,25.01106788,25.65737743,28.94363361,30.74805773,28.84038047,28.32951123,27.00854817,27.6382927,28.10054362,25.62882462,24.19088296,21.92296131,19.55553313,17.77795799,18.28315252,15.0012428
Moldova,85.38007566,80.34243819,68.0591109,49.33455108,40.42122213,34.9844222,28.27624633,22.19530894,32.60965727,25.47463406,24.2007289,31.33295652,29.97430372,34.96112044,42.38114371,39.23241759,34.86044799,31.79954792,28.79207112,36.63331252,33.1360467
Netherlands,48.15981539,47.53450653,48.71609368,49.11276701,48.47453997,44.06873026,41.97296381,53.79049379,55.83235442,59.40030069,61.83077347,66.42887991,67.83392862,68.01298469,64.63214919,61.88749141,56.94090329,52.42038949,48.52918929,54.58614239,52.32753668
Nicaragua,87.47554561,110.3854946,109.5402051,84.04752196,66.60760263,51.1556697,30.91601851,25.99924719,29.25814567,30.34713954,28.79434284,27.8524598,28.83544601,28.68961635,28.91078315,30.91591551,34.08040784,37.68569025,41.73851038,48.05034021,49.39530728
North Macedonia ,45.21449984,40.46423622,36.46125514,34.58001664,36.66908957,30.58567976,23.53159519,20.64167118,23.7293378,24.2726622,27.72804274,33.66203126,33.96896894,38.01526617,38.07670223,39.80950934,39.38273354,40.42527386,40.44843452,51.8806973,53.20220445
Norway,27.27524364,34.01282234,43.17675339,43.95447051,42.47655889,52.79003536,49.72578614,47.81915936,42.74070911,43.18151912,29.7937145,31.10676496,31.62292949,29.85913843,34.54429333,38.12606757,38.63634019,39.65798137,40.93738038,46.80121006,43.411487
Panama,60.18547505,59.33148994,58.81310606,61.18374671,61.72657277,56.94657612,49.36498961,41.64691864,41.61930444,40.54266416,37.82355196,36.03500689,35.62973985,36.55451057,36.00133484,35.30317562,35.25583609,37.31459772,41.89657387,65.56167702,58.43270736
Peru,47.44094916,48.81298961,48.84522983,44.68554988,41.8482393,33.81813951,29.57498584,26.5266385,26.67629167,23.58234031,21.41973883,19.7483983,18.88209308,19.29656305,22.57268705,23.05173205,23.26227091,23.55546724,24.76783865,32.42546249,33.7030508
Philippines,59.47094105,65.18395027,71.39296805,71.08231103,64.67429292,57.18854235,50.16761729,50.01009292,49.80529582,47.5865133,45.43361819,45.69117431,43.79675755,40.24023785,39.63994356,37.34332355,38.10835295,37.13401628,36.96650412,51.63803733,56.9514533
Poland,37.27833887,41.69652846,46.56318505,45.11293908,46.60381953,47.27128828,44.49940173,46.73496007,49.82090334,53.54463009,54.72475889,54.42287327,56.54014009,51.06863182,51.26926858,54.20065224,50.61727241,48.8188145,45.60724399,57.1423783,53.79080539
Portugal,57.38018238,60.04374477,63.89730659,67.09949661,72.24908185,73.67942697,72.72796173,75.64259185,87.79908834,100.2144637,114.4030365,129.0350431,131.4297479,132.9406999,131.1791232,131.5057446,126.1434846,121.4813324,116.60779,135.1813582,127.4291378
Romania,25.86944188,24.82079706,22.10933234,18.94524585,15.90510974,12.42358414,11.9491575,12.33618594,21.78073455,29.61854405,33.98821485,37.13447689,37.62116756,39.15092924,37.80587106,37.32045662,35.05675573,34.72825496,35.26973109,47.2052299,48.86308939
Russian Federation,44.43815523,37.5771881,28.33419775,20.82789827,14.85062992,9.803901173,8.032695583,7.44624468,9.918191753,10.10526429,10.34015419,11.16743956,12.3480622,15.13583188,15.28641254,14.8493203,14.31106446,13.61960998,13.74751887,19.20390389,16.99257793
Saint Kitts and Nevis,105.1749119,119.7173704,140.6837984,153.1296707,156.7802384,141.9195284,133.995905,124.6317548,131.9499036,141.6644815,132.0772597,122.598974,90.99377952,72.29440247,64.54299857,57.39996126,55.84425594,53.6216413,51.45239253,56.84554334,63.38898085
Saint Vincent and the Grenadines,51.90354643,53.15213465,55.2612409,58.51630743,50.48778731,44.71487544,48.42449158,50.22771283,57.24846512,61.09752644,63.98878728,67.80938513,70.01754209,75.06892975,75.07456889,79.43360295,68.6899179,69.39605708,68.12077001,79.24517621,88.42139009
Serbia,106.3048249,76.1202804,71.75887658,62.17836897,51.3117465,37.97185928,31.20431492,30.55626547,33.9253906,41.21498797,43.96773916,54.43962173,57.61259562,67.58645693,74.71906869,70.40214754,60.08959139,55.57987195,53.64042522,58.710094,57.85109563
Slovak Republic,51.11244966,45.29729759,43.24184236,41.71503318,34.73188394,31.42700501,30.34542156,28.59881675,36.36084224,40.77667351,43.34241316,51.93243267,54.8955567,53.67656335,51.83919528,52.43685675,51.59983847,49.62959898,48.14254423,59.74437251,63.07429991
Slovenia,26.06240868,27.35788964,26.7774945,26.8971558,26.39865905,26.06107981,22.84801916,21.78601845,34.52636747,38.26927255,46.45777228,53.56119305,70.00573321,80.29882315,82.5875231,78.51999842,74.15028144,70.28683656,65.42133101,79.5883081,74.42868061
Spain,54.04952903,51.24999213,47.71173551,45.36550439,42.43016282,39.0638758,35.76457534,39.71200388,53.26130253,60.51524971,69.85044244,89.98294936,100.5201371,105.1046236,103.3473425,102.8020341,101.8543315,100.4655531,98.31082873,119.9505817,118.5499971
Sweden,51.7630688,49.7670817,49.27086635,48.47621753,48.76808417,43.66659107,38.97691699,37.51052457,40.73905914,38.06559863,37.14909581,37.49932542,40.16092413,44.87215514,43.7386955,42.25544509,40.73041543,38.90789026,34.89427618,39.22435437,36.81323405
Switzerland,51.08941975,57.71148273,56.87690688,57.8093359,54.91245675,48.48881893,44.77378639,44.81813891,43.10682507,41.46631439,41.89382668,42.58092291,41.96741626,42.06881902,42.15560213,40.94576982,41.76607113,39.79013402,39.63823319,43.33400826,42.07443147
Taiwan Province of China,30.12556341,29.7788214,32.14996042,33.44575195,34.06781358,33.2969738,32.15654512,33.35318323,36.71079524,36.88986294,38.34263029,39.20493345,38.89474686,37.48843265,35.94143211,35.36392039,34.51358081,33.91494715,32.72576779,32.59788055,28.35878702
Tajikistan,99.44864407,98.2969401,69.76019008,49.41219164,45.84328216,36.80696316,34.26990227,30.22860043,36.93954989,36.83782891,35.5123246,32.46249771,29.29164046,27.89233002,35.01893135,42.17921416,47.68531114,46.32838319,43.0522851,50.43334485,44.40259277
Tanzania,50.77035923,47.37142268,44.37581767,44.52162833,46.09134996,34.4617639,23.76066745,21.74339504,24.01339445,27.55330035,28.38277917,30.04556048,32.72070766,36.08894843,39.21181642,39.79716233,40.73240828,40.54377815,39.03580144,40.52788017,40.67081439
Turkmenistan,45.59533965,32.3374552,22.62848813,15.26825013,9.117415147,5.652021276,4.094394645,4.761565753,4.129120389,6.281811471,10.09695211,13.87036115,15.87697204,12.45545696,14.83651072,19.04322997,19.78096453,18.8975825,15.29306991,13.1222968,11.07858479
"TÃ¼rkiye, Republic of",75.50890192,71.50596511,65.1595485,57.15817,50.19596095,44.22542954,37.75876481,37.74814761,43.43739606,39.70721076,36.11125558,32.39365929,31.06540051,28.4342116,27.32726628,27.91952509,27.94153268,30.06533729,32.61851035,39.65050993,41.80371381
Ukraine,36.69002369,33.57956195,29.38022578,24.79809233,17.74063191,14.80060219,12.26663711,20.41297763,35.42476752,40.62584289,36.87567214,37.54153797,40.51880791,70.31687077,79.5028094,79.51285403,71.61982418,60.42421628,50.49233171,60.56478164,47.58708314
United Arab Emirates,2.689688483,3.427151142,3.331996594,4.079731317,4.481496626,5.05165651,8.890522768,8.949136556,21.13607333,19.47331838,21.46719789,21.20976295,16.01573423,14.19461895,16.65038836,19.3658089,21.62336629,20.87765155,27.08602127,39.67232997,34.73854165
United Kingdom,35.08361916,35.46738064,36.71595355,39.79686951,40.97378213,41.9249527,42.95606356,50.66358009,64.56824137,75.68885898,81.08761318,84.10763614,84.75491522,86.46076405,87.01485935,86.73673708,86.11687424,85.4688233,84.846159,103.5962464,103.7868345
United States,53.14624702,55.53785765,58.62453902,66.0901395,65.43715105,64.17237036,64.56249547,73.41418498,86.58326916,95.14344332,99.48365115,103.037717,104.5366015,104.5308913,105.1160866,107.1438666,106.1797134,107.4494706,108.7576242,134.5060413,128.1444203
Uzbekistan,44.83845851,41.63289282,31.41234529,26.87713658,21.01150094,13.53851227,9.555329419,8.333180775,7.300991813,6.60952049,6.330977004,6.756565693,6.228016146,6.087354771,6.724146087,8.191619369,19.27435045,19.71429292,28.3597859,37.62142089,35.75415476
Venezuela,30.72885156,48.17666822,56.02899947,41.78302582,34.91286012,25.65818301,26.36441459,20.31132034,27.57364047,37.70645934,52.47604578,58.42013365,85.3812558,84.82576301,129.7651372,138.4075201,133.6103624,174.5415531,201.3944359,319.0883353,240.5239005
Vietnam,25.42021425,27.71137063,29.83524411,29.36270577,28.66914431,30.24826465,32.20952244,31.04529583,36.34838439,36.84767746,35.77724942,38.32996887,41.4128976,43.64233504,46.11599934,47.54835175,46.31984937,43.71170223,41.29098713,41.66833678,39.7124013
Yemen,60.56857804,57.82722756,56.82301164,52.06809444,43.8007105,40.84237166,40.40790584,36.42126603,49.84235784,42.37957253,45.72598481,47.31237793,48.19976223,48.72214484,57.03128996,72.25535424,77.42633664,74.54397531,76.52701473,83.9560628,69.73363198
