Total General Government expenditure over GDP;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
European Union;50,5;49,2;49,8;49,6;49,0;48,1;47,4;46,7;46,5;46,6;52,8;51,5
Euro area – 20 countries (from 2023);50,9;49,4;50,1;50,0;49,3;48,4;47,7;47,1;46,9;46,9;53,5;52,3
Euro area - 19 countries  (2015-2022);50,9;49,4;50,1;50,0;49,3;48,5;47,7;47,1;46,9;46,9;53,5;52,3
Belgium;53,9;55,3;56,5;56,1;55,6;53,7;53,1;52,0;52,3;51,9;58,9;55,5
Bulgaria;36,1;33,7;34,3;37,8;43,2;40,4;34,8;34,8;36,9;36,3;41,5;40,6
Czechia;43,6;43,2;44,7;42,7;42,6;41,9;39,8;39,0;40,6;41,1;47,2;46,5
Denmark;56,7;56,4;58,0;55,8;55,2;54,5;52,5;50,5;50,5;49,7;53,5;50,8
Germany;48,1;45,2;44,9;44,9;44,3;44,1;44,4;44,2;44,3;45,0;50,4;51,3
Estonia;40,3;37,4;39,2;38,4;37,8;39,5;39,4;39,2;39,3;39,4;44,9;41,5
Ireland;64,9;47,2;42,5;40,6;37,6;29,1;28,1;26,2;25,3;24,3;27,3;24,8
Greece;53,0;55,1;56,7;62,8;50,7;54,1;49,9;48,5;48,5;47,8;59,7;57,4
Spain;46,0;46,2;49,5;46,4;45,3;44,0;42,5;41,3;41,8;42,3;51,9;50,6
France;56,9;56,3;57,1;57,2;57,2;56,8;56,7;56,5;55,6;55,4;61,5;59,0
Croatia;48,6;48,4;48,3;48,8;48,6;47,5;46,4;44,7;45,5;46,1;54,0;48,5
Italy;49,9;49,2;50,6;51,0;50,9;50,3;49,1;48,8;48,4;48,5;56,8;55,3
Cyprus;41,7;42,1;42,1;42,8;49,3;40,4;37,3;36,4;42,6;38,1;44,6;43,1
Latvia;45,8;42,3;38,8;38,5;38,9;38,6;37,5;38,7;39,4;38,2;42,2;44,0
Lithuania;42,4;42,5;36,2;35,6;34,7;35,2;34,2;33,2;34,0;34,7;42,7;37,5
Luxembourg;42,0;41,5;41,8;41,2;40,6;40,4;40,0;41,3;42,3;43,1;46,7;42,9
Hungary;48,8;49,1;49,1;50,1;50,0;50,4;46,8;46,7;46,2;46,1;51,1;48,4
Malta;40,2;42,0;42,1;40,8;40,3;38,5;36,4;34,5;35,8;35,7;45,7;43,7
Netherlands;48,2;47,1;47,0;46,8;46,1;44,8;43,6;42,5;42,3;42,1;47,8;46,6
Austria;52,8;50,9;51,2;51,6;52,4;51,1;50,1;49,3;48,8;48,6;56,7;56,0
Poland;46,2;44,4;43,4;43,4;42,9;41,7;41,3;41,4;41,4;41,9;48,2;44,2
Portugal;51,9;50,0;48,9;49,9;51,7;48,2;44,8;45,4;43,2;42,5;49,2;47,8
Romania;39,5;38,1;36,2;36,0;35,4;36,0;35,0;33,6;34,5;36,0;41,5;39,8
Slovenia;50,2;50,9;49,4;60,3;50,8;48,7;46,2;44,1;43,5;43,2;51,2;49,3
Slovakia;42,1;41,4;41,1;42,5;43,3;45,6;42,5;39,5;39,7;40,5;44,8;46,3
Finland;53,9;53,7;55,4;56,8;57,3;56,5;55,6;53,6;53,4;53,3;57,2;55,6
Sweden;50,4;49,8;51,0;51,7;50,7;49,3;49,7;49,2;49,9;49,1;52,1;49,5
Iceland;48,8;50,5;47,7;46,0;45,8;43,5;46,4;44,4;43,8;43,3;50,8;49,2
Norway;45,1;43,9;43,0;44,1;45,9;49,0;51,2;50,1;48,5;51,1;57,6;48,3
Switzerland;32,1;32,1;32,4;33,3;32,9;33,2;33,3;33,3;32,5;32,8;37,8;35,9