Government consolidated gross debt;2002-Q1;2002-Q2;2002-Q3;2002-Q4;2003-Q1;2003-Q2;2003-Q3;2003-Q4;2004-Q1;2004-Q2;2004-Q3;2004-Q4;2005-Q1;2005-Q2;2005-Q3;2005-Q4;2006-Q1;2006-Q2;2006-Q3;2006-Q4;2007-Q1;2007-Q2;2007-Q3;2007-Q4;2008-Q1;2008-Q2;2008-Q3;2008-Q4;2009-Q1;2009-Q2;2009-Q3;2009-Q4;2010-Q1;2010-Q2;2010-Q3;2010-Q4;2011-Q1;2011-Q2;2011-Q3;2011-Q4;2012-Q1;2012-Q2;2012-Q3;2012-Q4;2013-Q1;2013-Q2;2013-Q3;2013-Q4;2014-Q1;2014-Q2;2014-Q3;2014-Q4;2015-Q1;2015-Q2;2015-Q3;2015-Q4;2016-Q1;2016-Q2;2016-Q3;2016-Q4;2017-Q1;2017-Q2;2017-Q3;2017-Q4;2018-Q1;2018-Q2;2018-Q3;2018-Q4;2019-Q1;2019-Q2;2019-Q3;2019-Q4;2020-Q1;2020-Q2;2020-Q3;2020-Q4;2021-Q1;2021-Q2;2021-Q3;2021-Q4;2022-Q1;2022-Q2;2022-Q3
European Union - 27 countries (from 2020);5.506.467,6;5.546.619,2;5.590.396,8;5.589.363,5;5.725.974,9;5.807.455,3;5.866.319,6;5.846.779,9;6.024.452,9;6.154.226,4;6.197.406,6;6.143.254,6;6.304.148,8;6.415.599,2;6.425.750,1;6.420.182,5;6.517.940,9;6.575.481,3;6.612.556,5;6.573.566,4;6.676.166,8;6.763.666,4;6.754.731,8;6.689.885,9;6.826.050,3;6.932.691,0;6.978.351,1;7.207.709,9;7.503.877,0;7.767.874,3;7.929.843,6;8.021.697,7;8.244.384,7;8.428.945,9;8.531.416,5;8.830.822,4;8.995.084,4;9.138.068,5;9.173.114,4;9.262.712,9;9.390.111,6;9.556.365,9;9.587.765,1;9.687.372,9;9.891.971,1;10.007.621,1;9.984.413,4;9.997.313,2;10.126.347,5;10.229.705,5;10.215.304,1;10.242.750,7;10.411.179,2;10.413.558,1;10.415.764,1;10.395.286,3;10.592.560,9;10.665.236,3;10.602.301,2;10.580.286,5;10.711.818,9;10.777.541,5;10.751.790,0;10.686.752,4;10.762.385,6;10.780.139,1;10.844.708,3;10.781.768,6;10.915.150,5;10.971.443,6;11.003.231,3;10.871.059,7;11.094.423,5;11.888.100,1;12.072.781,4;12.090.479,7;12.418.930,4;12.639.315,4;12.762.163,3;12.762.414,3;12.995.917,9;13.121.764,5;13.180.283,4
Euro area – 20 countries (from 2023);5.116.813,0;5.163.853,7;5.192.783,9;5.187.905,7;5.318.408,2;5.401.779,7;5.455.833,5;5.441.799,9;5.601.986,7;5.721.536,6;5.758.008,7;5.700.308,8;5.854.220,9;5.963.524,0;5.974.919,6;5.964.805,5;6.069.173,4;6.125.783,5;6.153.912,1;6.103.876,1;6.212.100,2;6.299.556,1;6.291.668,3;6.216.784,9;6.356.406,9;6.448.977,0;6.496.908,7;6.727.779,4;7.040.103,6;7.271.318,3;7.396.692,7;7.470.799,9;7.659.473,6;7.838.780,2;7.911.144,2;8.199.945,2;8.348.079,3;8.484.885,4;8.532.018,3;8.615.092,9;8.717.752,3;8.877.833,1;8.890.210,2;8.987.731,5;9.173.340,5;9.294.167,2;9.260.555,1;9.280.086,2;9.428.758,5;9.524.004,1;9.497.722,8;9.514.938,1;9.659.906,8;9.667.459,4;9.673.454,9;9.645.342,7;9.840.188,6;9.911.893,9;9.851.130,1;9.822.210,0;9.933.746,7;9.995.791,3;9.989.204,2;9.909.654,3;9.993.140,9;10.024.910,1;10.079.423,3;10.009.745,2;10.147.669,8;10.200.062,6;10.240.195,7;10.097.974,9;10.329.961,2;11.021.453,9;11.190.409,1;11.161.752,1;11.475.436,1;11.672.317,7;11.796.440,5;11.787.368,1;12.023.819,8;12.148.935,9;12.198.121,1
Euro area - 19 countries  (2015-2022);5.106.774,2;5.153.824,9;5.182.628,3;5.177.508,2;5.307.348,1;5.390.337,7;5.444.279,4;5.430.177,6;5.589.775,8;5.708.303,9;5.744.696,8;5.687.098,1;5.839.820,4;5.948.660,8;5.960.047,2;5.949.680,8;6.053.862;6.110.115,5;6.138.336,7;6.088.341,3;6.196.242,3;6.283.238,1;6.275.280,6;6.200.296,5;6.339.672,2;6.431.952,5;6.479.530,4;6.709.220,1;7.020.879,8;7.251.003,2;7.375.539,5;7.448.703;7.636.406,5;7.815.192,2;7.886.155,8;8.174.154,8;8.320.135,6;8.457.309,1;8.503.728;8.586.574,2;8.688.132,3;8.847.495;8.859.721,7;8.956.984,5;9.141.875,2;9.261.086,6;9.227.062,4;9.244.700,2;9.393.297,4;9.488.250,9;9.461.997,8;9.478.198;9.622.033;9.630.056,5;9.635.909,5;9.607.811,1;9.802.544,6;9.874.561,9;9.813.334,8;9.784.637,2;9.894.133,7;9.957.703,4;9.951.027,8;9.871.291,3;9.954.944,2;9.986.051,8;10.041.116,2;9.971.083,4;10.108.701,3;10.159.848,4;10.200.153,3;10.058.561,9;10.290.712,8;10.977.845,9;11.147.215,2;11.117.973,8;11.430.384,6;11.626.731,9;11.750.307,6;11.741.627,3;11.978.574,3;12.103.279,3;12.152.370,9
Belgium;295.527,0;293.733,0;292.962,0;288.111,0;297.454,0;296.833,0;295.755,0;285.867,0;300.650,0;300.425,0;301.260,0;288.419,0;303.644,0;302.370,0;301.465,0;294.975,0;308.285,0;303.188,0;305.313,0;297.495,0;307.996,0;307.882,0;314.884,0;300.064,0;314.287,0;313.627,0;319.139,0;327.683,0;345.956,0;348.259,0;353.339,0;347.224,0;363.995,0;369.232,0;368.896,0;364.132,0;381.224,0;380.304,0;386.236,0;389.107,0;404.786,0;410.818,0;409.816,0;404.752,0;424.169,0;428.088,0;425.495,0;414.432,0;435.321,0;438.932,0;439.129,0;431.379,0;450.488,0;446.969,0;447.528,0;438.497,0;454.143,0;459.405,0;459.221,0;451.612,0;462.288,0;460.098,0;466.774,0;454.041,0;469.908,0;470.073,0;470.577,0;459.381,0;477.752,0;477.468,0;480.044,0;467.240,0;492.125,0;524.244,0;515.878,0;515.168,0;537.303,0;546.530,0;548.189,0;548.488,0;562.175,0;573.668,0;575.009,0
Bulgaria;10.255,6;9.257,0;9.278,4;8.890,3;8.680,2;8.617,2;8.473,8;8.126,5;8.381,5;8.346,5;7.769,9;7.526,2;6.877,1;7.034,3;6.458,2;6.388,6;5.986,1;5.901,6;5.863,3;5.721,0;5.431,2;5.343,9;5.331,0;5.296,9;4.875,2;4.858,0;4.923,1;4.848,6;4.779,5;4.988,6;4.947,5;5.112,5;5.124,2;5.273,0;5.590,2;5.857,0;5.725,7;5.768,6;5.815,6;6.285,0;6.410,8;6.321,4;7.261,2;7.005,7;6.885,4;6.885,5;6.625,3;7.147,6;7.680,8;8.141,7;9.653,9;11.619,3;12.537,8;12.480,5;11.956,3;11.871,6;13.647,9;13.656,5;13.611,1;14.188,1;13.954,6;14.027,0;13.126,6;13.182,6;12.656,0;12.614,1;12.516,8;12.427,2;11.950,5;11.947,1;12.213,6;12.311,1;12.330,8;12.846,1;15.269,3;15.131,7;15.273,9;15.723,2;15.824,7;17.009,9;16.231,2;16.441,7;18.708,8
Czechia;20.100,2;22.160,3;23.279,0;22.013,9;24.363,7;25.020,1;25.114,0;24.530,7;26.049,1;28.254,4;28.111,8;28.673,0;29.705,5;29.746,6;30.344,9;31.385,6;32.357,6;33.049,5;33.606,7;35.405,0;35.057,9;35.643,9;36.450,6;39.606,2;40.121,1;45.212,7;44.043,1;42.298,6;41.857,6;49.132,1;51.690,2;49.824,4;53.200,0;53.740,8;61.419,6;59.059,8;61.645,0;62.535,8;63.291,4;62.576,1;69.397,7;67.913,8;71.573,4;71.778,7;71.738,9;69.899,5;69.653,2;67.096,2;66.979,0;66.221,7;66.364,7;65.581,0;66.627,2;67.076,8;67.228,7;67.943,9;68.658,6;68.202,6;67.057,8;64.939,8;71.184,6;73.429,7;66.950,0;68.520,7;72.117,5;70.324,1;69.135,1;67.431,3;71.143,9;71.388,3;69.138,9;68.492,7;69.171,8;84.706,7;79.798,2;81.922,9;96.128,2;98.771,1;95.463,5;103.259,8;110.059,9;112.978,5;121.491,3
Denmark;90.372,1;92.399,7;96.599,3;93.174,5;97.587,7;97.072,9;95.842,5;89.061,4;94.680,6;96.542,7;98.373,1;89.394,7;90.837,0;91.447,6;84.646,9;79.532,5;74.546,9;75.834,4;76.293,6;71.183,3;69.334,8;67.173,8;66.811,7;63.755,0;65.245,3;63.831,5;58.342,9;80.547,5;83.712,7;88.924,3;92.292,9;92.986,6;98.857,4;104.987,6;105.750,6;103.472,9;109.626,5;113.174,1;120.566,8;114.452,4;111.170,7;115.308,5;117.924,8;114.025,7;112.553,1;116.286,5;118.198,6;113.943,4;115.312,4;116.239,8;120.987,4;117.801,4;116.565,2;113.474,1;111.884,0;108.532,4;107.205,3;108.770,9;107.236,6;105.450,1;103.765,7;104.961,0;105.753,3;105.727,0;104.853,3;103.921,1;104.467,2;102.597,3;101.735,3;106.753,6;106.019,9;104.152,7;103.822,2;128.015,7;130.628,8;131.823,6;127.316,9;128.475,4;129.187,2;123.315,3;114.791,1;113.702,5;112.961,6
Germany (until 1990 former territory of the FRG);1.285.983,0;1.290.253,0;1.308.782,0;1.317.680,0;1.349.442,0;1.366.466,0;1.389.363,0;1.405.195,0;1.448.336,0;1.457.954,0;1.476.547,0;1.475.183,0;1.503.196,0;1.517.172,0;1.538.463,0;1.545.669,0;1.565.008,0;1.577.341,0;1.595.172,0;1.595.311,0;1.598.431,0;1.616.842,0;1.597.550,0;1.603.669,0;1.622.299,0;1.658.080,0;1.653.647,0;1.672.576,0;1.702.501,0;1.767.842,0;1.775.758,0;1.789.213,0;1.808.578,0;1.849.678,0;1.875.566,0;2.102.672,0;2.106.928,0;2.118.978,0;2.134.697,0;2.139.149,0;2.170.134,0;2.216.023,0;2.210.471,0;2.216.705,0;2.206.853,0;2.205.802,0;2.186.604,0;2.201.918,0;2.191.703,0;2.197.939,0;2.199.629,0;2.203.743,0;2.209.784,0;2.175.008,0;2.176.962,0;2.177.231,0;2.186.651,0;2.190.095,0;2.183.539,0;2.161.570,0;2.137.659,0;2.132.326,0;2.127.092,0;2.111.751,0;2.090.093,0;2.075.780,0;2.076.450,0;2.063.571,0;2.074.202,0;2.064.616,0;2.081.101,0;2.046.638,0;2.091.520,0;2.261.026,0;2.334.627,0;2.315.216,0;2.345.586,0;2.397.710,0;2.430.788,0;2.471.628,0;2.475.736,0;2.514.916,0;2.527.294,0
Estonia;332,5;414,4;423,7;442,9;437,3;460,7;470,3;489,7;480,7;493,9;500,0;499,9;501,1;518,7;529,9;533,1;521,4;496,5;525,1;628,1;602,9;515,8;541,9;617,5;710,5;664,3;696,0;749,4;831,5;901,7;893,9;1.023,1;1.010,6;983,3;1.008,9;981,9;1.004,3;1.003,2;998,4;1.027,4;1.126,7;1.250,0;1.660,8;1.762,5;1.807,0;1.853,6;1.907,9;1.934,2;2.028,3;2.053,1;2.070,6;2.129,9;2.056,3;2.058,5;2.056,2;2.077,4;1.991,5;1.963,2;1.982,1;2.174,1;2.105,8;2.096,3;2.123,2;2.174,1;2.143,2;2.127,7;2.112,3;2.127,4;2.084,8;2.477,6;2.498,5;2.373,4;2.511,1;5.088,9;5.128,2;5.094,4;5.321,2;5.524,2;5.754,3;5.534,1;5.629,3;5.702,4;5.585,0
Ireland;40.934,8;41.857,6;42.853,7;41.987,4;42.188,5;44.143,7;44.319,0;43.409,3;44.985,8;46.927,9;45.959,1;43.888,9;45.043,5;46.350,7;46.167,5;44.371,3;46.394,6;46.582,4;45.518,1;43.723,8;45.150,8;45.564,4;53.512,2;47.183,1;51.598,9;60.015,5;71.275,2;79.621,0;89.533,1;101.267,7;103.099,4;104.685,4;124.301,9;123.715,8;139.239,4;144.229,6;155.835,1;158.671,2;187.893,6;189.726,7;194.273,5;199.755,8;210.430,7;210.026,1;218.269,0;218.381,1;218.447,2;215.241,6;215.002,5;209.464,9;208.226,7;203.381,6;203.585,9;204.106,1;203.572,5;201.673,9;207.210,3;200.399,6;202.460,0;200.635,0;208.606,6;211.244,7;210.917,4;201.267,0;210.217,5;214.493,4;215.674,0;205.847,5;215.002,0;213.750,8;213.029,2;203.363,7;213.576,2;225.691,3;227.091,4;217.741,5;230.325,6;234.466,8;236.303,8;236.073,0;235.133,1;236.603,4;236.142,4
Greece;161.507,0;162.757,0;164.471,0;171.410,0;170.278,0;174.153,0;174.592,0;181.510,0;187.837,0;198.359,0;199.794,0;199.282,0;200.892,0;209.098,0;212.478,0;213.976,0;214.744,0;219.515,0;221.659,0;225.730,0;231.675,0;233.269,0;234.171,0;239.915,0;244.548,0;249.692,0;256.238,0;264.775,0;281.548,0;291.479,0;296.231,0;301.062,0;311.473,0;315.853,0;328.594,0;330.570,0;342.265,0;342.057,0;348.354,0;356.235,0;281.499,0;301.787,0;301.208,0;305.085,0;306.699,0;317.674,0;318.007,0;320.498,0;319.971,0;322.055,0;319.175,0;319.629,0;303.363,0;301.980,0;303.907,0;311.729,0;309.104,0;315.274,0;311.151,0;315.012,0;310.661,0;309.090,0;313.489,0;317.481,0;322.573,0;323.396,0;335.028,0;334.721,0;337.410,0;335.515,0;334.277,0;331.093,0;329.649,0;333.892,0;337.727,0;341.153,0;344.269,0;354.114,0;357.369,0;353.434,0;357.676,0;359.110,0;357.431,0
Spain;379.002,0;383.191,0;381.131,0;384.145,0;381.976,0;389.134,0;382.788,0;382.775,0;388.781,0;390.340,0;386.682,0;389.888,0;394.722,0;393.037,0;390.459,0;393.479,0;393.984,0;390.270,0;394.583,0;392.132,0;398.734,0;400.012,0;391.300,0;384.662,0;380.270,0;390.638,0;403.722,0;440.621,0;473.710,0;511.173,0;533.678,0;569.535,0;586.851,0;609.032,0;620.541,0;649.153,0;691.086,0;710.840,0;713.895,0;743.043,0;781.571,0;810.956,0;823.547,0;927.813,0;1.000.221,0;1.014.560,0;1.024.830,0;1.025.655,0;1.053.452,0;1.066.099,0;1.073.210,0;1.084.846,0;1.095.614,0;1.100.882,0;1.110.817,0;1.113.661,0;1.135.747,0;1.144.690,0;1.146.320,0;1.145.050,0;1.165.853,0;1.174.893,0;1.176.715,0;1.183.412,0;1.199.832,0;1.202.859,0;1.214.636,0;1.208.861,0;1.231.635,0;1.242.270,0;1.238.656,0;1.223.355,0;1.258.745,0;1.325.133,0;1.342.410,0;1.345.786,0;1.393.076,0;1.424.717,0;1.432.341,0;1.427.238,0;1.453.855,0;1.475.368,0;1.503.799,0
France;909.606,0;936.554,0;940.257,0;956.794,0;988.478,0;1.028.178,0;1.043.958,0;1.050.356,0;1.071.942,0;1.106.206,0;1.111.265,0;1.123.615,0;1.146.706,0;1.165.760,0;1.171.662,0;1.189.919,0;1.199.157,0;1.195.959,0;1.207.702,0;1.194.106,0;1.230.606,0;1.262.966,0;1.265.199,0;1.252.867,0;1.294.330,0;1.313.423,0;1.330.405,0;1.370.326,0;1.453.804,0;1.542.608,0;1.582.240,0;1.607.983,0;1.652.990,0;1.710.802,0;1.689.474,0;1.701.122,0;1.745.488,0;1.790.115,0;1.784.947,0;1.807.957,0;1.864.357,0;1.899.823,0;1.879.100,0;1.892.540,0;1.929.283,0;1.971.027,0;1.959.365,0;1.977.734,0;2.020.343,0;2.038.600,0;2.043.717,0;2.039.884,0;2.092.105,0;2.108.692,0;2.107.130,0;2.101.255,0;2.176.341,0;2.209.506,0;2.201.172,0;2.188.481,0;2.252.256,0;2.275.804,0;2.271.620,0;2.254.331,0;2.282.382,0;2.296.132,0;2.316.104,0;2.310.877,0;2.351.767,0;2.368.031,0;2.408.699,0;2.374.942,0;2.433.643,0;2.634.209,0;2.670.393,0;2.656.153,0;2.745.096,0;2.768.666,0;2.840.922,0;2.821.899,0;2.910.657,0;2.916.834,0;2.956.801,0
Croatia;10.038,8;10.028,8;10.155,6;10.397,5;11.060,2;11.442,0;11.554,1;11.622,3;12.210,9;13.232,6;13.312,0;13.210,7;14.400,5;14.863,2;14.872,4;15.124,7;15.311,4;15.668,1;15.575,3;15.534,8;15.857,9;16.318,0;16.387,6;16.488,4;16.734,7;17.024,5;17.378,4;18.559,3;19.223,8;20.315,2;21.153,1;22.096,9;23.067,1;23.588,0;24.988,4;25.790,4;27.943,7;27.576,4;28.290,3;28.518,7;29.620,0;30.338,1;30.488,5;30.747,0;31.465,3;33.081,0;33.493,1;35.386,3;35.462,6;35.754,7;35.726,5;36.741,7;37.876,6;37.405,8;37.548,1;37.534,5;37.646,9;37.334,9;37.798,4;37.575,8;39.616,0;38.090,9;38.179,3;38.365,9;38.199,8;38.861,2;38.310,0;38.664,6;38.971,3;40.217,1;40.045,2;39.415,7;39.251,1;43.610,7;43.196,4;43.780,8;45.054,1;45.588,2;46.135,4;45.743,2;45.247,9;45.659,0;45.752,5
