HICP - Inflation rate;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);3,1;2,6;1,5;0,6;0,1;0,2;1,7;1,9;1,5;0,7;2,9;9,2
European Union - 27 countries (from 2020);2,9;2,6;1,3;0,4;0,1;0,2;1,6;1,8;1,4;0,7;2,9;9,2
European Union - 28 countries (2013-2020);3,1;2,6;1,5;0,6;0,1;0,2;1,7;1,9;1,5;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);2,7;2,5;1,4;0,4;0,2;0,2;1,5;1,8;1,2;0,3;2,6;8,4
Euro area – 20 countries (from 2023);2,7;2,5;1,4;0,4;0,2;0,2;1,5;1,8;1,2;0,3;2,6;8,4
Euro area - 19 countries  (2015-2022);2,7;2,5;1,3;0,4;0,2;0,2;1,5;1,8;1,2;0,3;2,6;8,4
Belgium;3,4;2,6;1,2;0,5;0,6;1,8;2,2;2,3;1,2;0,4;3,2;10,3
Bulgaria;3,4;2,4;0,4;-1,6;-1,1;-1,3;1,2;2,6;2,5;1,2;2,8;13,0
Czechia;2,2;3,5;1,4;0,4;0,3;0,6;2,4;2,0;2,6;3,3;3,3;14,8
Denmark;2,7;2,4;0,5;0,4;0,2;0,0;1,1;0,7;0,7;0,3;1,9;8,5
Germany (until 1990 former territory of the FRG);2,5;2,2;1,6;0,8;0,7;0,4;1,7;1,9;1,4;0,4;3,2;8,7
Estonia;5,1;4,2;3,2;0,5;0,1;0,8;3,7;3,4;2,3;-0,6;4,5;19,4
Ireland;1,2;1,9;0,5;0,3;0,0;-0,2;0,3;0,7;0,9;-0,5;2,4;8,1
Greece;3,1;1,0;-0,9;-1,4;-1,1;0,0;1,1;0,8;0,5;-1,3;0,6;9,3
Spain;3,0;2,4;1,5;-0,2;-0,6;-0,3;2,0;1,7;0,8;-0,3;3,0;8,3
France;2,3;2,2;1,0;0,6;0,1;0,3;1,2;2,1;1,3;0,5;2,1;5,9
Croatia;2,2;3,4;2,3;0,2;-0,3;-0,6;1,3;1,6;0,8;0,0;2,7;10,7
Italy;2,9;3,3;1,2;0,2;0,1;-0,1;1,3;1,2;0,6;-0,1;1,9;8,7
Cyprus;3,5;3,1;0,4;-0,3;-1,5;-1,2;0,7;0,8;0,5;-1,1;2,3;8,1
Latvia;4,2;2,3;0,0;0,7;0,2;0,1;2,9;2,6;2,7;0,1;3,2;17,2
Lithuania;4,1;3,2;1,2;0,2;-0,7;0,7;3,7;2,5;2,2;1,1;4,6;18,9
Luxembourg;3,7;2,9;1,7;0,7;0,1;0,0;2,1;2,0;1,6;0,0;3,5;8,2
Hungary;3,9;5,7;1,7;0,0;0,1;0,4;2,4;2,9;3,4;3,4;5,2;15,3
Malta;2,5;3,2;1,0;0,8;1,2;0,9;1,3;1,7;1,5;0,8;0,7;6,1
Netherlands;2,5;2,8;2,6;0,3;0,2;0,1;1,3;1,6;2,7;1,1;2,8;11,6
Austria;3,6;2,6;2,1;1,5;0,8;1,0;2,2;2,1;1,5;1,4;2,8;8,6
Poland;3,9;3,7;0,8;0,1;-0,7;-0,2;1,6;1,2;2,1;3,7;5,2;13,2
Portugal;3,6;2,8;0,4;-0,2;0,5;0,6;1,6;1,2;0,3;-0,1;0,9;8,1
Romania;5,8;3,4;3,2;1,4;-0,4;-1,1;1,1;4,1;3,9;2,3;4,1;12,0
Slovenia;2,1;2,8;1,9;0,4;-0,8;-0,2;1,6;1,9;1,7;-0,3;2,0;9,3
Slovakia;4,1;3,7;1,5;-0,1;-0,3;-0,5;1,4;2,5;2,8;2,0;2,8;12,1
Finland;3,3;3,2;2,2;1,2;-0,2;0,4;0,8;1,2;1,1;0,4;2,1;7,2
Sweden;1,4;0,9;0,4;0,2;0,7;1,1;1,9;2,0;1,7;0,7;2,7;8,1
Iceland;4,2;6,0;4,1;1,0;0,3;0,8;-1,7;0,7;2,0;1,2;3,7;5,7
Liechtenstein;:;:;:;:;:;:;:;:;:;:;:;:
Norway;1,3;0,4;2,0;1,9;2,0;3,9;1,9;3,0;2,3;1,2;3,9;6,2
Switzerland;0,1;-0,7;0,1;0,0;-0,8;-0,5;0,6;0,9;0,4;-0,8;0,5;2,7
United Kingdom;4,5;2,8;2,6;1,5;0,0;0,7;2,7;2,5;1,8;:;:;:
Montenegro;:;:;:;:;:;-0,1;2,7;2,6;0,5;-0,5;2,5;11,9
North Macedonia;3,2;1,8;2,7;0,0;0,1;0,2;2,1;2,3;0,7;1,2;3,4;14,0
Albania;:;:;:;:;:;:;3,2;1,8;1,7;2,2;2,3;6,6
Serbia;11,2;7,4;7,7;2,3;1,5;1,3;3,3;2,0;1,9;1,8;4,0;11,7
Türkiye;6,5;9,0;7,5;8,9;7,7;7,7;11,1;16,3;15,2;12,3;19,6;72,3
Kosovo (under United Nations Security Council Resolution 1244/99);:;:;:;:;:;:;1,5;1,1;2,7;0,2;3,4;11,6
United States;3,8;2,1;1,2;1,3;-0,8;0,6;1,8;2,2;1,4;0,8;5,3;8,7